gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000168028,RPSA,71375.49678391026,-0.023822317826458318,0.08839743024271213,-0.2694910673426769,0.7875518152697778,0.8653679535201932
ENSG00000168032,ENTPD3,306.7961225950441,0.15376762933295976,0.1473158360756162,1.0437956531301351,0.296579943168966,0.4556344089389511
ENSG00000168036,CTNNB1,19131.927169774473,-0.07432460132805478,0.054002547398644865,-1.3763165796493495,0.16872364206565274,0.30857196581876006
ENSG00000168038,ULK4,479.1814499164869,-0.057713809115884335,0.0815849810693814,-0.7074072747139994,0.47931341741528555,0.6308303645034796
ENSG00000168040,FADD,974.6273648011612,-0.002402997978440187,0.05613461369352038,-0.04280777617104302,0.9658547651854152,0.981201178079313
ENSG00000168056,LTBP3,18693.019872777444,0.15521478122345705,0.07006564782695662,2.2152764733838755,0.026741093654324085,0.08131335757239641
ENSG00000168060,NAALADL1,419.93261008307746,-0.4787598423531881,0.10229230242920298,-4.680311528666003,2.864393290038737e-6,7.229220849180869e-5
ENSG00000168061,SAC3D1,1302.038354009858,-0.2631198963099339,0.06934761001246832,-3.794217223385584,1.4810996851219213e-4,0.0015727661132676307
ENSG00000168062,BATF2,602.5356882817284,0.07943077485260824,0.12372856706622896,0.6419760346055801,0.5208887436488954,0.6652784408248336
ENSG00000168065,SLC22A11,10.791376646913564,-0.13029760407591442,0.1546616063660469,-0.8424689691087992,0.39952550201029213,0.5589880790924432
ENSG00000168066,SF1,15488.268848126056,-0.021217130443081517,0.03424126156640067,-0.6196363531155897,0.5354972273673866,0.6780980178657762
ENSG00000168067,MAP4K2,1523.6058095777062,0.11978882201682928,0.06857233957701185,1.7468971126805073,0.08065518676972624,0.18110891106813945
ENSG00000168070,MAJIN,116.59061513643522,-0.044789222203636625,0.18519223402943633,-0.24185259408079376,0.8088943841665561,0.8798156836873783
ENSG00000168071,CCDC88B,632.9033436698028,0.1378671014483394,0.0868774653473927,1.586914407517035,0.11253203136891836,0.2300638029400236
ENSG00000168077,SCARA3,14033.400771276107,0.5506240951132793,0.11713769780020669,4.700656624244392,2.593262639883161e-6,6.683795166046812e-5
ENSG00000168078,PBK,1184.1458213259587,-0.2932879241444946,0.10299234773692237,-2.847667138277614,0.004404096145240244,0.02107730515829899
ENSG00000168079,SCARA5,37.61542088168905,-0.9128287610714252,0.21255066310104145,-4.294640852931559,1.749763628987712e-5,2.965971427666427e-4
ENSG00000168081,PNOC,4356.060362049931,0.32981506995605275,0.20655791855634106,1.5967195654428126,0.11032823234798976,0.2269377432523246
ENSG00000168090,COPS6,8080.775279568081,-0.03417278060744225,0.05747019663438288,-0.5946174297061233,0.5520992265974405,0.6926066496588897
ENSG00000168092,PAFAH1B2,7466.582329024078,0.07698309753102349,0.04992549742915006,1.5419595496323542,0.1230834235424255,0.24622089623340404
ENSG00000168096,ANKS3,818.5494172560449,-0.06301604035734332,0.06791128178107575,-0.9279171104513514,0.353450568070029,0.5140534959990477
ENSG00000168101,NUDT16L1,2538.9826904986357,-0.12821816980843137,0.06901897375424006,-1.8577235046262117,0.06320828889220541,0.15235204235367286
ENSG00000168116,KIAA1586,331.56666110885516,-0.4096083392081573,0.08304424279386935,-4.9324110308872156,8.122077768051953e-7,2.539153888452179e-5
ENSG00000168118,RAB4A,2746.778549791012,0.13205297220106185,0.054934018457486966,2.403846940548445,0.016223564373058372,0.05630967428683231
ENSG00000168124,OR1F1,5.939795140704624,0.41610113724225417,0.3282805839361685,1.2675167451364155,0.20497057997961413,0.3535567879958849
ENSG00000168135,KCNJ4,46.333238453961194,-0.2260687227531252,0.21508388313344054,-1.0510723512131754,0.2932253615246641,0.4521581228486443
ENSG00000168137,SETD5,7477.643882609618,-0.07641748634596675,0.05655655915881197,-1.351169298177863,0.17664120697494684,0.31881498350807064
ENSG00000168140,VASN,7630.707286831734,0.26918029421730494,0.0845643216876377,3.1831425930618673,0.0014568584887850265,0.009113242493182544
ENSG00000168143,FAM83B,76.89040233131945,-0.0861012664073233,0.21181504922179561,-0.40649267709569115,0.6843806364797093,0.7933573355768981
ENSG00000168148,H3-4,3.2286880844430783,0.3478236606785319,0.18278021878025266,1.9029611792767496,0.057045610947993056,0.14125358373343247
ENSG00000168152,THAP9,284.2748730775017,-0.1834848502854605,0.05801915229293497,-3.162487610281813,0.0015642739189961415,0.009590914990561134
ENSG00000168158,OR2C1,5.7028754038306255,-0.3112285865134078,0.16897032266576878,-1.841912719365711,0.06548791779352073,0.15615294923233902
ENSG00000168159,RNF187,8910.803021922624,-0.016147379677168602,0.05208843076413631,-0.309999349957118,0.7565614506828822,0.8448989726543986
ENSG00000168172,HOOK3,2945.79783251206,-0.027882187429747747,0.055782823385748186,-0.4998346397230101,0.6171915175049212,0.7443864511617234
ENSG00000168175,MAPK1IP1L,6624.146266215364,-0.19608908452162638,0.04539766442577922,-4.31936503786914,1.5647876832271197e-5,2.7155772536918644e-4
ENSG00000168209,DDIT4,4130.176284490288,0.2898537880418779,0.12377591063769712,2.341762517024053,0.019192923036487706,0.06348401589596642
ENSG00000168214,RBPJ,4936.154868711082,-0.15110526442488223,0.04229936903122937,-3.5722817594116387,3.538843646916419e-4,0.003128811690155798
ENSG00000168216,LMBRD1,3482.2922874528076,0.03481886889262033,0.06419114915346914,0.5424247634105267,0.5875259242132209,0.7205476774137375
ENSG00000168228,ZCCHC4,450.7811971942272,-0.03199143014771752,0.05808438192441007,-0.5507750808014205,0.5817878685308063,0.716013479929271
ENSG00000168229,PTGDR,18.669244582703016,0.24633109504309678,0.1375378093767326,1.7910063869664108,0.07329227007321854,0.16881958605412567
ENSG00000168234,TTC39C,1546.6907485261406,0.11439384593454671,0.08447172476999382,1.3542264733675935,0.17566413549369322,0.3175257018608927
ENSG00000168237,GLYCTK,294.42170426209844,-0.18491174489441264,0.11148073150692131,-1.6586879400134933,0.0971786908096888,0.2076728047447992
ENSG00000168243,GNG4,345.988227517913,-0.3122864331015687,0.18127909143984974,-1.7226831325177316,0.08494584223819937,0.18803245107683053
ENSG00000168246,UBTD2,2104.882672721317,-0.09059144579811389,0.051791317528327545,-1.7491627964197745,0.08026288294995611,0.18053947082015806
ENSG00000168255,POLR2J3,356.25345409082684,-0.04414930499692897,0.08625613173697308,-0.5118396119542732,0.6087632646562325,0.7375587904631562
ENSG00000168256,NKIRAS2,3289.4085151173335,-0.09909475607343989,0.05244170809178281,-1.8896172470203585,0.05880916881800413,0.14424830720173257
ENSG00000168259,DNAJC7,2309.7699321938744,-0.022886306864458403,0.04538952916889575,-0.5042199662238794,0.6141068112883765,0.7419017929936703
ENSG00000168263,KCNV2,8.668519783555421,-0.1095255226669394,0.14956346373071122,-0.7323013250357717,0.4639846707614906,0.6172686479240622
ENSG00000168264,IRF2BP2,17462.468442321788,0.10375423341799773,0.05131282771908364,2.0219940710733963,0.04317696437396008,0.11499779505598043
ENSG00000168267,PTF1A,16.276966292030806,-3.5510947924517526,0.37182869906692356,-9.55035154995556,1.2925692246893731e-21,3.3647423446128228e-18
ENSG00000168268,NT5DC2,9072.385812305018,-0.0860283147440677,0.0792023327352038,-1.0861841030829877,0.2773975489912785,0.4356781708084017
ENSG00000168269,FOXI1,42.530130477371195,0.39134650028540163,0.25276839746864393,1.5482414107323221,0.12156418466394393,0.24396782120037547
ENSG00000168273,UQCC5,912.320864720621,-0.20542270513530209,0.09269611354363362,-2.216087571337132,0.02668550527524373,0.08122477452046892
ENSG00000168275,COA6,1847.5793655448088,-0.23500998506750828,0.0783926014898691,-2.997859244381363,0.002718832119408264,0.01467058302631252
